source,target,year,cmd_code,trade_value_usd,trade_qty_kg,share_of_reporter_total,distance_km,estimated_tariff_pct,tariff_methodology,is_placeholder_estimate
Belgium,Nigeria,2024,2709,41549768.272,64200484.5,0.0018959326187193,4622.165333585657,0.02,importer_default_high_income,True
Belgium,Algeria,2024,2709,26394549.808,38066733.64,0.0012043939116532,2509.7807565407165,0.02,importer_default_high_income,True
Belgium,Norway,2024,2709,17193720.748,20867176.06,0.0007845563852458,1136.1483896270988,0.02,importer_default_high_income,True
Belgium,Germany,2024,2709,731692.414,1460803.1,3.3387418805580945e-05,426.3358560145185,0.0,eu_eea_uk_ch_zone,True
Belgium,Czechia,2024,2709,30505.213,5927.62,1.391965124548158e-06,786.78654304382,0.0,eu_eea_uk_ch_zone,True
Belgium,Spain,2024,2709,14057.358,10720.65,6.414428930323497e-07,1285.4141137376864,0.0,eu_eea_uk_ch_zone,True
Belgium,United Arab Emirates,2024,2709,2899.334,151.3,1.3229777521686896e-07,5184.792666149878,0.02,importer_default_high_income,True
Belgium,Gabon,2024,2709,582.65,14.4,2.658655357751425e-08,5745.292991153822,0.02,importer_default_high_income,True
Belgium,Bahrain,2024,2709,430.247,13.48,1.9632343460164377e-08,4760.666004446797,0.02,importer_default_high_income,True
Belgium,El Salvador,2024,2709,269.168,0.0,1.228224397726312e-08,9062.950374679143,0.02,importer_default_high_income,True
Belgium,Angola,2024,2709,266.59,8.0,1.2164608801561012e-08,6983.8046507974495,0.02,importer_default_high_income,True
Belgium,Japan,2024,2709,212.561,14.42,9.699243825607152e-09,9364.929378553465,0.02,importer_default_high_income,True
Belgium,Oman,2024,2709,190.043,8.19,8.671738439082711e-09,5492.0334880086875,0.02,importer_default_high_income,True
Belgium,Côte d'Ivoire,2024,2709,168.027,0.0,7.667139514234938e-09,4866.549725815843,0.02,importer_default_high_income,True
Belgium,Uruguay,2024,2709,110.53,6.35,5.043528305024715e-09,10958.098256648054,0.02,importer_default_high_income,True
Belgium,Canada,2024,2709,102.87,7.05,4.693999427647629e-09,6562.609864881317,0.02,importer_default_high_income,True
Belgium,Viet Nam,2024,2709,99.601,3.6,4.544833644338792e-09,9751.364369079793,0.02,importer_default_high_income,True
Belgium,Chile,2024,2709,88.765,0.0,4.050382611015279e-09,12117.412032215378,0.02,importer_default_high_income,True
Belgium,Peru,2024,2709,78.402,2.25,3.577514757717793e-09,10062.735849135946,0.02,importer_default_high_income,True
Belgium,Israel,2024,2709,69.904,4.86,3.189747603677261e-09,3309.8752130922235,0.02,importer_default_high_income,True
Belgium,Türkiye,2024,2709,53.002,7.74,2.418502553360354e-09,2721.3383808825492,0.02,importer_default_high_income,True
Belgium,India,2024,2709,51.273,1.5,2.339607588740905e-09,7171.412584340441,0.02,importer_default_high_income,True
Belgium,China,2024,2709,31.195,6.84,1.4234403824775712e-09,7627.185579469352,0.02,importer_default_high_income,True
Belgium,New Caledonia,2024,2709,23.053,1.98,1.051917651458742e-09,16333.45053885341,0.02,importer_default_high_income,True
Belgium,Azerbaijan,2024,2709,21.597,5.0,9.85479786516048e-10,3504.852334857605,0.02,importer_default_high_income,True
Belgium,Namibia,2024,2709,18.002,0.5,8.214384922378984e-10,8284.192654220209,0.02,importer_default_high_income,True
Belgium,Papua New Guinea,2024,2709,10.416,1.0,4.752862645900428e-10,13836.594602510157,0.02,importer_default_high_income,True
Belgium,Brazil,2024,2709,2.913,4.0,1.3292136028713466e-10,9038.90037449106,0.02,importer_default_high_income,True
Belgium,Madagascar,2024,2709,1.96,0.78,8.943558742285752e-11,8747.75413790074,0.02,importer_default_high_income,True
Belgium,Indonesia,2024,2709,1.216,0.0,5.548656852356875e-11,11436.47462557285,0.02,importer_default_high_income,True
Belgium,Cameroon,2024,2709,0.975,0.2,4.448964170269698e-11,4851.617123112694,0.02,importer_default_high_income,True
Belgium,Thailand,2024,2709,0.975,0.45,4.448964170269698e-11,9102.873948457594,0.02,importer_default_high_income,True
Belgium,Libya,2024,2709,0.964,5.0,4.3987707283487064e-11,2898.6823437318412,0.02,importer_default_high_income,True
Belgium,Singapore,2024,2709,0.964,1.0,4.3987707283487064e-11,10550.33003290394,0.02,importer_default_high_income,True
Belgium,Mauritius,2024,2709,0.954,0.45,4.353140326602351e-11,9434.21810546206,0.02,importer_default_high_income,True
Belize,Guatemala,2024,2709,240011.89,402128.0,1.0,242.08377633124016,0.04,importer_default_upper_middle_income,True
Bolivia (Plurinational State of),Argentina,2024,2709,83482546.0,136474883.734,0.7877710521406153,2460.2893464968165,0.06,importer_default_lower_middle_income,True
Bolivia (Plurinational State of),Br. Virgin Isds,2024,2709,15096950.0,24680063.016,0.1424601998316421,3861.390751207639,0.06,importer_default_lower_middle_income,True
Bolivia (Plurinational State of),Peru,2024,2709,4613530.0,7542067.181,0.0435349130605371,1468.549190853303,0.06,importer_default_lower_middle_income,True
Bolivia (Plurinational State of),Paraguay,2024,2709,2780081.0,4544797.079,0.0262338349672054,959.9182270419302,0.06,importer_default_lower_middle_income,True
Brazil,Saudi Arabia,2024,2709,1966876749.0,3187637000.0,0.219927480835079,11340.165669849895,0.04,importer_default_upper_middle_income,True
Brazil,USA,2024,2709,1507039192.0,2254066197.188,0.1685104738691956,7316.914682969025,0.04,importer_default_upper_middle_income,True
Brazil,Angola,2024,2709,1033329351.0,1657052150.0,0.1155423293065615,7550.95835059359,0.04,importer_default_upper_middle_income,True
Brazil,Guyana,2024,2709,876322490.0,1441031900.0,0.0979865147741515,2259.5114334616105,0.04,importer_default_upper_middle_income,True
Brazil,Algeria,2024,2709,760715198.0,1049808000.0,0.0850598174055177,7439.05812705431,0.04,importer_default_upper_middle_income,True
Brazil,Gabon,2024,2709,729513892.0,1176755200.0,0.0815710250188909,7137.669839435154,0.04,importer_default_upper_middle_income,True
Brazil,Argentina,2024,2709,567997036.0,877583175.0,0.0635109227422524,2924.2468900690706,0.04,importer_default_upper_middle_income,True
Brazil,Ghana,2024,2709,408654719.0,648079000.0,0.0456939678232157,6132.488768656199,0.04,importer_default_upper_middle_income,True
Brazil,Nigeria,2024,2709,397655123.0,606619300.0,0.0444640415252341,7168.32490525257,0.04,importer_default_upper_middle_income,True
Brazil,France,2024,2709,176244660.0,274197400.0,0.0197069003455055,8625.29007828946,0.04,importer_default_upper_middle_income,True
Brazil,Côte d'Ivoire,2024,2709,100227040.0,170617700.0,0.0112069454428009,5659.923006600326,0.04,importer_default_upper_middle_income,True
Brazil,Congo,2024,2709,97712151.0,129462000.0,0.0109257416497157,7606.922351563571,0.04,importer_default_upper_middle_income,True
Brazil,United Kingdom,2024,2709,90458425.0,127387560.0,0.0101146620095405,8966.771801914781,0.04,importer_default_upper_middle_income,True
Brazil,Russian Federation,2024,2709,77537044.0,106301990.0,0.0086698501911665,14451.514430912086,0.04,importer_default_upper_middle_income,True
Brazil,Dem. Rep. of the Congo,2024,2709,69176124.0,124536000.0,0.007734969002501,8140.015106104751,0.04,importer_default_upper_middle_income,True
Brazil,Malta,2024,2709,28014980.0,36554300.0,0.0031325114703692,8911.947484418666,0.04,importer_default_upper_middle_income,True
Brazil,Netherlands,2024,2709,26714285.0,30613400.0,0.0029870734937242,9189.5299338811,0.04,importer_default_upper_middle_income,True
Brazil,Peru,2024,2709,21231941.0,38216100.0,0.0023740619740118,2574.255815634024,0.04,importer_default_upper_middle_income,True
Brazil,South Africa,2024,2709,6035737.0,8356320.0,0.0006748894835774,7777.137821308,0.04,importer_default_upper_middle_income,True
Brazil,Bolivia (Plurinational State of),2024,2709,1836503.0,3036652.0,0.0002053496633896,1271.6387743816342,0.04,importer_default_upper_middle_income,True
Brazil,Japan,2024,2709,3957.0,0.0,4.42454282967584e-07,17370.43187077511,0.04,importer_default_upper_middle_income,True
Brazil,Switzerland,2024,2709,264.0,0.0,2.9519315315502196e-08,9043.03837377976,0.04,importer_default_upper_middle_income,True
Brunei Darussalam,Malaysia,2024,2709,1611659930.6,2608570000.0,0.3904377891386903,1414.261089077302,0.02,importer_default_high_income,True
Brunei Darussalam,Russian Federation,2024,2709,825495284.88,1219420000.0,0.1999829789482765,6385.315740472303,0.02,importer_default_high_income,True
Brunei Darussalam,Australia,2024,2709,562981955.47,819492000.0,0.1363869795638905,3900.9841030970065,0.02,importer_default_high_income,True
Brunei Darussalam,United Arab Emirates,2024,2709,505466488.5,849845000.0,0.1224533876573857,6842.736455536438,0.02,importer_default_high_income,True
Brunei Darussalam,Saudi Arabia,2024,2709,166357317.87,271467000.0,0.0403014197740985,7736.156107374989,0.02,importer_default_high_income,True
Brunei Darussalam,Viet Nam,2024,2709,157579157.19,236490000.0,0.0381748386117019,1273.211430919726,0.02,importer_default_high_income,True
Brunei Darussalam,Indonesia,2024,2709,106844339.74,158667000.0,0.0258839144648451,598.8079857457986,0.02,importer_default_high_income,True
Brunei Darussalam,Philippines,2024,2709,70354889.577,105438000.0,0.0170440469605235,1208.1325873160345,0.02,importer_default_high_income,True
Brunei Darussalam,Pakistan,2024,2709,46079333.27,64666800.0,0.0111630950582892,5549.296486863508,0.02,importer_default_high_income,True
Brunei Darussalam,Canada,2024,2709,37212767.53,80606300.0,0.0090150970476359,12307.11173987006,0.02,importer_default_high_income,True
Brunei Darussalam,Thailand,2024,2709,22315571.919,42123900.0,0.0054061296666823,1959.4592493784776,0.02,importer_default_high_income,True
Brunei Darussalam,Colombia,2024,2709,15480687.7,28385500.0,0.0037503231079799,18590.220668228205,0.02,importer_default_high_income,True
Bulgaria,Kazakhstan,2024,2709,1482984311.332,2378591400.0,0.3674727281585535,3248.9730592909186,0.02,importer_default_high_income,True
Bulgaria,Iraq,2024,2709,691370953.595,1236042800.0,0.1713166946850176,1906.9772783860903,0.02,importer_default_high_income,True
Bulgaria,Saudi Arabia,2024,2709,540156407.551,874436500.0,0.1338468298001112,2761.991351053879,0.02,importer_default_high_income,True
Bulgaria,Norway,2024,2709,482139074.638,790296100.0,0.1194705566034825,2280.626871064858,0.02,importer_default_high_income,True
Bulgaria,Libya,2024,2709,366322079.975,559535000.0,0.0907719475415224,1971.6313157469335,0.02,importer_default_high_income,True
Bulgaria,Guyana,2024,2709,138990882.235,215318200.0,0.0344409298829226,9185.24495101301,0.02,importer_default_high_income,True
Bulgaria,Egypt,2024,2709,86245343.9,138318300.0,0.0213709690464894,1833.8674620234503,0.02,importer_default_high_income,True
Bulgaria,Azerbaijan,2024,2709,81849538.638,138569600.0,0.0202817204686471,1858.4002502973003,0.02,importer_default_high_income,True
Bulgaria,Ghana,2024,2709,76628587.009,130241800.0,0.0189880066214863,4654.476049084947,0.02,importer_default_high_income,True
Bulgaria,Tunisia,2024,2709,75987515.388,140703200.0,0.018829153735644,1699.448304898238,0.02,importer_default_high_income,True
Bulgaria,Italy,2024,2709,12955775.481,27975500.0,0.0032103469504249,1065.66437938994,0.0,eu_eea_uk_ch_zone,True
Bulgaria,Türkiye,2024,2709,470.174,18.0,1.1650569811762485e-07,920.789420276294,0.02,importer_default_high_income,True
Burkina Faso,United Arab Emirates,2024,2709,15634.04,24503.0,1.0,5960.572627749345,0.08,importer_default_low_income,True
Cabo Verde,Portugal,2024,2709,224.209,75.0,1.0,2919.6817583169477,0.06,importer_default_lower_middle_income,True
Cambodia,France,2024,2709,356.0,5.0,1.0,9958.08013239989,0.06,importer_default_lower_middle_income,True
Canada,USA,2024,2709,11354463366.489,18561952672.153,0.7492321311517908,2261.5437678773055,0.0,bilateral_fta_bloc,True
Canada,Nigeria,2024,2709,1601682295.534,2618384507.124,0.1056881158516698,10656.624621064988,0.02,importer_default_high_income,True
Canada,Saudi Arabia,2024,2709,1467530037.977,2399076224.975,0.0968359862015008,10718.120771150883,0.02,importer_default_high_income,True
Canada,Ecuador,2024,2709,534609515.803,873964379.479,0.0352765792561594,6929.622911828692,0.02,importer_default_high_income,True
Canada,Côte d'Ivoire,2024,2709,109704010.832,179340986.12,0.0072388951532611,9972.955455076828,0.02,importer_default_high_income,True
Canada,Mexico,2024,2709,45865410.834,74979464.701,0.0030264609075872,3626.626850684984,0.02,importer_default_high_income,True
Canada,Colombia,2024,2709,40932053.539,66914552.986,0.0027009299088458,6395.722700965873,0.02,importer_default_high_income,True
Canada,Guyana,2024,2709,5456.817,8920.649,3.600718500076093e-07,7061.561450815574,0.02,importer_default_high_income,True
Canada,Poland,2024,2709,3761.398,6149.026,2.4819845277474425e-07,7005.159576893397,0.02,importer_default_high_income,True
Canada,Oman,2024,2709,858.437,1403.348,5.6644560135511614e-08,11226.600192169948,0.02,importer_default_high_income,True
Canada,Japan,2024,2709,831.106,1358.668,5.484110516669776e-08,8082.711742931965,0.02,importer_default_high_income,True
Canada,United Arab Emirates,2024,2709,745.281,1218.363,4.9177883085601194e-08,10973.59144565147,0.02,importer_default_high_income,True
Canada,Qatar,2024,2709,456.974,747.048,3.0153745963146144e-08,10708.698767423231,0.02,importer_default_high_income,True
Canada,Italy,2024,2709,453.33,741.09,2.9913294098729994e-08,7705.256658969186,0.02,importer_default_high_income,True
Canada,Germany,2024,2709,340.816,557.156,2.2488979863571266e-08,6750.715106021945,0.02,importer_default_high_income,True
Canada,China,2024,2709,339.389,554.823,2.2394818280003252e-08,9385.849916760364,0.02,importer_default_high_income,True
Canada,Türkiye,2024,2709,188.878,308.772,1.246324567705628e-08,8837.82822842115,0.02,importer_default_high_income,True
Canada,United Kingdom,2024,2709,65.684,107.378,4.33420424322454e-09,5807.422505518145,0.02,importer_default_high_income,True
